Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 06, 2023","4,364.27","4,372.21","4,347.53","4,365.98","4,365.98","2,177,065,000"
"Oct 31, 2023","4,201.27","4,373.62","4,197.74","4,365.98","4,365.98","17,121,980,000"
"Sep 30, 2023","4,284.52","4,393.57","4,103.78","4,193.80","4,193.80","79,952,900,000"
"Aug 31, 2023","4,530.60","4,541.25","4,238.63","4,288.05","4,288.05","73,482,980,000"
"Jul 31, 2023","4,578.83","4,584.62","4,335.31","4,507.66","4,507.66","86,840,820,000"
"Jun 30, 2023","4,450.48","4,607.07","4,385.05","4,588.96","4,588.96","75,063,200,000"
"May 31, 2023","4,183.03","4,458.48","4,171.64","4,450.38","4,450.38","87,983,140,000"
"Apr 30, 2023","4,166.79","4,231.10","4,048.28","4,179.83","4,179.83","88,929,200,000"
"Mar 31, 2023","4,102.20","4,170.06","4,049.35","4,169.48","4,169.48","70,861,260,000"
"Mar 01, 2023","3,963.34","4,110.75","3,808.86","4,109.31","4,109.31","113,094,800,000"
"Feb 01, 2023","4,070.07","4,195.44","3,943.08","3,970.15","3,970.15","80,392,280,000"
"Jan 01, 2023","3,853.29","4,094.21","3,794.33","4,076.60","4,076.60","80,763,810,000"
"Dec 01, 2022","4,087.14","4,100.96","3,764.49","3,839.50","3,839.50","85,249,330,000"
"Oct 31, 2022","3,901.79","4,080.11","3,698.15","4,080.11","4,080.11","92,671,910,000"
"Sep 30, 2022","3,609.78","3,905.42","3,491.58","3,871.98","3,871.98","95,823,760,000"
"Aug 31, 2022","3,936.73","4,119.28","3,584.13","3,585.62","3,585.62","94,241,020,000"
"Jul 31, 2022","4,112.38","4,325.28","3,954.53","3,955.00","3,955.00","92,252,350,000"
"Jun 30, 2022","3,781.00","4,140.15","3,721.56","4,130.29","4,130.29","81,688,320,000"
"May 31, 2022","4,149.78","4,177.51","3,636.87","3,785.38","3,785.38","106,116,710,000"
"Apr 30, 2022","4,130.61","4,307.66","3,810.32","4,132.15","4,132.15","108,860,390,000"
"Mar 31, 2022","4,540.32","4,593.45","4,124.28","4,131.93","4,131.93","90,367,840,000"
"Mar 01, 2022","4,363.14","4,637.30","4,157.87","4,530.41","4,530.41","123,546,260,000"
"Feb 01, 2022","4,519.57","4,595.31","4,114.65","4,373.94","4,373.94","92,667,710,000"
"Jan 01, 2022","4,778.14","4,818.62","4,222.62","4,515.55","4,515.55","95,562,890,000"
"Dec 01, 2021","4,602.82","4,808.93","4,495.12","4,766.18","4,766.18","92,750,180,000"
"Oct 31, 2021","4,610.62","4,743.83","4,560.00","4,567.00","4,567.00","88,268,840,000"
"Sep 30, 2021","4,317.16","4,608.08","4,278.94","4,605.38","4,605.38","80,253,600,000"
"Aug 31, 2021","4,528.80","4,545.85","4,305.91","4,307.54","4,307.54","85,528,860,000"
"Jul 31, 2021","4,406.86","4,537.36","4,367.73","4,522.68","4,522.68","80,500,760,000"
"Jun 30, 2021","4,300.73","4,429.97","4,233.13","4,395.26","4,395.26","84,255,620,000"
"May 31, 2021","4,216.52","4,302.43","4,164.40","4,297.50","4,297.50","102,544,180,000"
"Apr 30, 2021","4,191.98","4,238.04","4,056.88","4,204.11","4,204.11","88,321,860,000"
"Mar 31, 2021","3,992.78","4,218.78","3,992.78","4,181.17","4,181.17","83,124,090,000"
"Mar 01, 2021","3,842.51","3,994.41","3,723.34","3,972.89","3,972.89","122,371,150,000"
"Feb 01, 2021","3,731.17","3,950.43","3,725.62","3,811.15","3,811.15","99,082,320,000"
"Jan 01, 2021","3,764.61","3,870.90","3,662.71","3,714.24","3,714.24","106,117,800,000"
"Dec 01, 2020","3,645.87","3,760.20","3,633.40","3,756.07","3,756.07","96,375,680,000"
"Oct 31, 2020","3,296.20","3,645.99","3,279.74","3,621.63","3,621.63","101,247,180,000"
"Sep 30, 2020","3,385.87","3,549.85","3,233.94","3,269.96","3,269.96","89,938,980,000"
"Aug 31, 2020","3,507.44","3,588.11","3,209.45","3,363.00","3,363.00","92,310,780,000"
"Jul 31, 2020","3,288.26","3,514.77","3,284.53","3,500.31","3,500.31","82,466,520,000"
"Jun 30, 2020","3,105.92","3,279.99","3,101.17","3,271.12","3,271.12","96,928,130,000"
"May 31, 2020","3,038.78","3,233.13","2,965.66","3,100.29","3,100.29","131,458,880,000"
"Apr 30, 2020","2,869.09","3,068.67","2,766.64","3,044.31","3,044.31","107,135,190,000"
"Mar 31, 2020","2,498.08","2,954.86","2,447.49","2,912.43","2,912.43","123,608,160,000"
"Mar 01, 2020","2,974.28","3,136.72","2,191.86","2,584.59","2,584.59","162,185,380,000"
"Feb 01, 2020","3,235.66","3,393.52","2,855.84","2,954.22","2,954.22","84,436,590,000"
"Jan 01, 2020","3,244.67","3,337.77","3,214.64","3,225.52","3,225.52","77,287,980,000"
"Dec 01, 2019","3,143.85","3,247.93","3,070.33","3,230.78","3,230.78","72,325,540,000"
"Oct 31, 2019","3,050.72","3,154.26","3,050.72","3,140.98","3,140.98","72,410,620,000"
"Sep 30, 2019","2,983.69","3,050.10","2,855.94","3,037.56","3,037.56","77,720,640,000"
"Aug 31, 2019","2,909.01","3,021.99","2,891.85","2,976.74","2,976.74","74,178,980,000"
"Jul 31, 2019","2,980.32","3,013.59","2,822.12","2,926.46","2,926.46","80,269,220,000"
"Jun 30, 2019","2,971.41","3,027.98","2,952.22","2,980.38","2,980.38","70,599,470,000"
"May 31, 2019","2,751.53","2,964.15","2,728.81","2,941.76","2,941.76","71,250,630,000"
"Apr 30, 2019","2,952.33","2,954.13","2,750.52","2,752.06","2,752.06","77,250,740,000"
"Mar 31, 2019","2,848.63","2,949.52","2,848.63","2,945.83","2,945.83","70,090,370,000"
"Mar 01, 2019","2,798.22","2,860.31","2,722.27","2,834.40","2,834.40","79,159,660,000"
"Feb 01, 2019","2,702.32","2,813.49","2,681.83","2,784.49","2,784.49","70,638,770,000"
"Jan 01, 2019","2,476.96","2,708.95","2,443.96","2,704.10","2,704.10","80,859,870,000"
"Dec 01, 2018","2,790.50","2,800.18","2,346.58","2,506.85","2,506.85","84,162,180,000"
"Oct 31, 2018","2,717.58","2,815.15","2,631.09","2,760.17","2,760.17","80,620,020,000"
"Sep 30, 2018","2,926.29","2,939.86","2,603.54","2,711.74","2,711.74","91,930,980,000"
"Aug 31, 2018","2,896.96","2,940.91","2,864.12","2,913.98","2,913.98","63,031,510,000"
"Jul 31, 2018","2,821.17","2,916.50","2,796.34","2,901.52","2,901.52","69,523,070,000"
"Jun 30, 2018","2,704.95","2,848.03","2,698.95","2,816.29","2,816.29","64,898,300,000"
"May 31, 2018","2,718.70","2,791.47","2,691.99","2,718.37","2,718.37","77,891,360,000"
"Apr 30, 2018","2,642.96","2,742.24","2,594.62","2,705.27","2,705.27","76,011,820,000"
